channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
18,17,eulsef20120913c-01,AD34,1,1,p1,1,10,0,Euler,0.195945945945946,0.0810810810810811,0.233108108108108,0.283783783783784,0.5,L5,Lower
19,17,eulsef20120913c-01,AD35,1,1,p1,1,11,0,Euler,0.168918918918919,0.0371621621621622,0.165540540540541,0.226351351351351,0.391304347826087,L5,Lower
20,17,eulsef20120913c-01,AD36,1,1,p1,1,12,0,Euler,0.0912162162162162,0.027027027027027,0.097972972972973,0.148648648648649,0.27536231884058,L5,Lower
21,17,eulsef20120913c-01,AD37,1,1,p1,1,13,0,Euler,0.0945945945945946,0.0371621621621622,0.0743243243243243,0.152027027027027,0.297101449275362,L6,Lower
22,17,eulsef20120913c-01,AD38,1,1,p1,1,14,0,Euler,0.0574324324324324,0.0337837837837838,0.0641891891891892,0.141891891891892,0.260869565217391,L6,Lower
23,17,eulsef20120913c-01,AD39,1,1,p1,1,15,0,Euler,0.0405405405405405,0.0304054054054054,0.0506756756756757,0.111486486486486,0.253623188405797,L6,Lower
24,17,eulsef20120913c-01,AD40,1,1,p1,1,16,0,Euler,0.0337837837837838,0.0236486486486486,0.0472972972972973,0.0912162162162162,0.239130434782609,L6,Lower
12,18,eulsef20120914c-01,AD28,1,1,p1,1,1,0,Euler,0.20253164556962,0.10126582278481,0.348101265822785,0.348101265822785,0.575342465753425,L2,Upper
13,18,eulsef20120914c-01,AD29,1,1,p1,1,2,0,Euler,0.259493670886076,0.126582278481013,0.430379746835443,0.367088607594937,0.575342465753425,L2,Upper
14,18,eulsef20120914c-01,AD30,1,1,p1,1,3,0,Euler,0.259493670886076,0.120253164556962,0.443037974683544,0.455696202531646,0.547945205479452,L2,Upper
15,18,eulsef20120914c-01,AD31,1,1,p1,1,4,0,Euler,0.272151898734177,0.10126582278481,0.348101265822785,0.411392405063291,0.547945205479452,L2,Upper
16,18,eulsef20120914c-01,AD32,1,1,p1,1,5,0,Euler,0.20253164556962,0.132911392405063,0.341772151898734,0.367088607594937,0.520547945205479,L3,Upper
17,18,eulsef20120914c-01,AD33,1,1,p1,1,6,0,Euler,0.20253164556962,0.113924050632911,0.30379746835443,0.30379746835443,0.452054794520548,L3,Upper
