session,monkey,betaBaseline_LFP_canc,betaBaseline_LFP_noncanc,betaBaseline_LFP_nostop,targetBaseline_LFP_canc,targetBaseline_LFP_noncanc,targetBaseline_LFP_nostop
7,Xena,0.254826254826255,0.217687074829932,0.245472837022133,0.359073359073359,0.360544217687075,0.358148893360161
7,Xena,0.262548262548263,0.204081632653061,0.263581488933602,0.32046332046332,0.374149659863946,0.35010060362173
7,Xena,0.28957528957529,0.217687074829932,0.253521126760563,0.312741312741313,0.319727891156463,0.354124748490946
7,Xena,0.239382239382239,0.210884353741497,0.255533199195171,0.374517374517374,0.306122448979592,0.344064386317907
7,Xena,0.254826254826255,0.251700680272109,0.23943661971831,0.366795366795367,0.353741496598639,0.329979879275654
7,Xena,0.277992277992278,0.238095238095238,0.261569416498994,0.382239382239382,0.312925170068027,0.378269617706237
7,Xena,0.274131274131274,0.231292517006803,0.263581488933602,0.335907335907336,0.346938775510204,0.344064386317907
7,Xena,0.254826254826255,0.224489795918367,0.235412474849095,0.32046332046332,0.346938775510204,0.364185110663984
7,Xena,0.227799227799228,0.251700680272109,0.219315895372233,0.281853281853282,0.306122448979592,0.311871227364185
7,Xena,0.216216216216216,0.285714285714286,0.233400402414487,0.28957528957529,0.217687074829932,0.297786720321932
7,Xena,0.27027027027027,0.224489795918367,0.24748490945674,0.193050193050193,0.210884353741497,0.235412474849095
7,Xena,0.227799227799228,0.17687074829932,0.263581488933602,0.189189189189189,0.238095238095238,0.243460764587525
7,Xena,0.231660231660232,0.170068027210884,0.233400402414487,0.216216216216216,0.27891156462585,0.249496981891348
7,Xena,0.235521235521236,0.163265306122449,0.229376257545272,0.227799227799228,0.292517006802721,0.23943661971831
7,Xena,0.231660231660232,0.19047619047619,0.24748490945674,0.212355212355212,0.258503401360544,0.277665995975855
7,Xena,0.239382239382239,0.204081632653061,0.255533199195171,0.227799227799228,0.258503401360544,0.261569416498994
7,Xena,0.223938223938224,0.217687074829932,0.245472837022133,0.223938223938224,0.26530612244898,0.263581488933602
7,Xena,0.239382239382239,0.170068027210884,0.215291750503018,0.231660231660232,0.272108843537415,0.23943661971831
8,Xena,0.258426966292135,0.215469613259669,0.236764705882353,0.355805243445693,0.392265193370166,0.332352941176471
8,Xena,0.310861423220974,0.248618784530387,0.279411764705882,0.411985018726592,0.502762430939227,0.436764705882353
8,Xena,0.288389513108614,0.226519337016575,0.247058823529412,0.337078651685393,0.408839779005525,0.327941176470588
8,Xena,0.273408239700375,0.226519337016575,0.242647058823529,0.363295880149813,0.397790055248619,0.385294117647059
8,Xena,0.269662921348315,0.276243093922652,0.233823529411765,0.355805243445693,0.392265193370166,0.344117647058824
8,Xena,0.247191011235955,0.287292817679558,0.223529411764706,0.325842696629214,0.392265193370166,0.316176470588235
8,Xena,0.224719101123595,0.248618784530387,0.238235294117647,0.333333333333333,0.337016574585635,0.292647058823529
8,Xena,0.235955056179775,0.259668508287293,0.225,0.310861423220974,0.337016574585635,0.286764705882353
8,Xena,0.224719101123595,0.237569060773481,0.245588235294118,0.288389513108614,0.331491712707182,0.273529411764706
