channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
22,20,xensef20120420a-01,AD38,1,2,p2,1,10,1,Xena,0.178807947019868,0.139072847682119,0.154525386313466,0.189845474613687,0.134680134680135,L5,Lower
23,20,xensef20120420a-01,AD39,1,2,p2,1,11,1,Xena,0.147902869757174,0.143487858719647,0.143487858719647,0.176600441501104,0.141414141414141,L5,Lower
24,20,xensef20120420a-01,AD40,1,2,p2,1,12,1,Xena,0.145695364238411,0.136865342163355,0.11037527593819,0.130242825607064,0.0909090909090909,L5,Lower
6,21,xensef20120423b-final,AD22,1,2,p2,1,1,1,Xena,0,0.101092896174863,0,0,0,L2,Upper
7,21,xensef20120423b-final,AD23,1,2,p2,1,2,1,Xena,0.0136612021857923,0.16120218579235,0.00273224043715847,0.00546448087431694,0.005,L2,Upper
8,21,xensef20120423b-final,AD24,1,2,p2,1,3,1,Xena,0.101092896174863,0.163934426229508,0.0792349726775956,0.0846994535519126,0.09,L2,Upper
9,21,xensef20120423b-final,AD25,1,2,p2,1,4,1,Xena,0.245901639344262,0.163934426229508,0.234972677595628,0.262295081967213,0.25,L2,Upper
10,21,xensef20120423b-final,AD26,1,2,p2,1,5,1,Xena,0.292349726775956,0.136612021857924,0.286885245901639,0.284153005464481,0.275,L3,Upper
11,21,xensef20120423b-final,AD27,1,2,p2,1,6,1,Xena,0.371584699453552,0.136612021857924,0.319672131147541,0.314207650273224,0.325,L3,Upper
12,21,xensef20120423b-final,AD28,1,2,p2,1,7,1,Xena,0.33879781420765,0.103825136612022,0.349726775956284,0.284153005464481,0.305,L3,Upper
13,21,xensef20120423b-final,AD29,1,2,p2,1,8,1,Xena,0.371584699453552,0.128415300546448,0.316939890710383,0.306010928961749,0.34,L3,Upper
14,21,xensef20120423b-final,AD30,1,2,p2,1,9,1,Xena,0.292349726775956,0.117486338797814,0.191256830601093,0.234972677595628,0.27,L5,Lower
15,21,xensef20120423b-final,AD31,1,2,p2,1,10,1,Xena,0.289617486338798,0.120218579234973,0.120218579234973,0.237704918032787,0.29,L5,Lower
16,21,xensef20120423b-final,AD32,1,2,p2,1,11,1,Xena,0.281420765027322,0.122950819672131,0.122950819672131,0.185792349726776,0.255,L5,Lower
17,21,xensef20120423b-final,AD33,1,2,p2,1,12,1,Xena,0.215846994535519,0.150273224043716,0.12568306010929,0.16120218579235,0.21,L5,Lower
18,21,xensef20120423b-final,AD34,1,2,p2,1,13,1,Xena,0.112021857923497,0.128415300546448,0.0765027322404372,0.092896174863388,0.125,L6,Lower
19,21,xensef20120423b-final,AD35,1,2,p2,1,14,1,Xena,0.103825136612022,0.117486338797814,0.0792349726775956,0.122950819672131,0.14,L6,Lower
20,21,xensef20120423b-final,AD36,1,2,p2,1,15,1,Xena,0.0901639344262295,0.166666666666667,0.0765027322404372,0.0983606557377049,0.14,L6,Lower
21,21,xensef20120423b-final,AD37,1,2,p2,1,16,1,Xena,0.0655737704918033,0.133879781420765,0.0710382513661202,0.0819672131147541,0.11,L6,Lower
22,21,xensef20120423b-final,AD38,1,2,p2,1,17,1,Xena,0.0546448087431694,0.136612021857924,0.0601092896174863,0.0710382513661202,0.1,L6,Lower
8,22,xensef20120424c-final,AD24,1,2,p2,1,1,1,Xena,0,0.123006833712984,0,0,0,L2,Upper
