Channel,Session,Monkey,fixation_nostop,fixation_canceled,fixation_noncanceled,target_nostop,target_canceled,target_noncanceled,postaction_early_nostop,postaction_early_canceled,postaction_early_noncanceled,postaction_late_nostop,postaction_late_canceled,postaction_late_noncanceled,tone_nostop,tone_canceled,tone_noncanceled
15,5,Euler,0.212475633528265,0.18695652173913,0.251336898395722,0.288499025341131,0.269565217391304,0.294117647058824,0.181286549707602,0.173913043478261,0.117647058823529,0.282651072124756,0.28695652173913,0.411764705882353,0.417153996101364,0.204347826086957,0.331550802139037
16,5,Euler,0.161793372319688,0.130434782608696,0.20855614973262,0.226120857699805,0.191304347826087,0.272727272727273,0.105263157894737,0.121739130434783,0.0855614973262032,0.216374269005848,0.260869565217391,0.342245989304813,0.32943469785575,0.156521739130435,0.262032085561497
17,5,Euler,0.138401559454191,0.143478260869565,0.171122994652406,0.200779727095517,0.169565217391304,0.224598930481283,0.0818713450292398,0.11304347826087,0.053475935828877,0.167641325536062,0.226086956521739,0.283422459893048,0.270955165692008,0.126086956521739,0.197860962566845
18,5,Euler,0.157894736842105,0.165217391304348,0.18716577540107,0.183235867446394,0.169565217391304,0.203208556149733,0.0818713450292398,0.1,0.0962566844919786,0.16374269005848,0.204347826086957,0.272727272727273,0.267056530214425,0.139130434782609,0.176470588235294
19,5,Euler,0.130604288499025,0.11304347826087,0.155080213903743,0.1364522417154,0.139130434782609,0.133689839572193,0.0565302144249513,0.0608695652173913,0.053475935828877,0.142300194931774,0.139130434782609,0.245989304812834,0.257309941520468,0.0869565217391304,0.165775401069519
20,5,Euler,0.0818713450292398,0.0782608695652174,0.106951871657754,0.0779727095516569,0.0782608695652174,0.106951871657754,0.0331384015594542,0.0347826086956522,0.0320855614973262,0.0955165692007797,0.108695652173913,0.203208556149733,0.202729044834308,0.0695652173913043,0.133689839572193
21,5,Euler,0.0935672514619883,0.091304347826087,0.117647058823529,0.10916179337232,0.0956521739130435,0.122994652406417,0.0311890838206628,0.0347826086956522,0.0267379679144385,0.0896686159844055,0.0826086956521739,0.197860962566845,0.189083820662768,0.0739130434782609,0.133689839572193
22,5,Euler,0.0955165692007797,0.0782608695652174,0.101604278074866,0.103313840155945,0.0652173913043478,0.106951871657754,0.0194931773879142,0.0391304347826087,0.0160427807486631,0.0740740740740741,0.0826086956521739,0.155080213903743,0.148148148148148,0.0565217391304348,0.106951871657754
23,5,Euler,0.115009746588694,0.104347826086957,0.112299465240642,0.120857699805068,0.1,0.133689839572193,0.0311890838206628,0.0304347826086957,0.0160427807486631,0.0838206627680312,0.0782608695652174,0.165775401069519,0.167641325536062,0.0521739130434783,0.106951871657754
24,5,Euler,0.0916179337231969,0.0869565217391304,0.112299465240642,0.0974658869395711,0.0956521739130435,0.112299465240642,0.0292397660818713,0.0304347826086957,0.0213903743315508,0.0604288499025341,0.0826086956521739,0.133689839572193,0.171539961013645,0.0434782608695652,0.106951871657754
5,6,Euler,0.158139534883721,0.160714285714286,0.2,0.12093023255814,0.129464285714286,0.109677419354839,0.12093023255814,0.120535714285714,0.0903225806451613,0.2,0.21875,0.425806451612903,0.246511627906977,0.160714285714286,0.283870967741935
6,6,Euler,0.193023255813953,0.209821428571429,0.2,0.086046511627907,0.133928571428571,0.109677419354839,0.118604651162791,0.147321428571429,0.0774193548387097,0.26046511627907,0.276785714285714,0.464516129032258,0.325581395348837,0.169642857142857,0.419354838709677
7,6,Euler,0.272093023255814,0.28125,0.303225806451613,0.186046511627907,0.290178571428571,0.219354838709677,0.218604651162791,0.28125,0.154838709677419,0.416279069767442,0.46875,0.612903225806452,0.469767441860465,0.28125,0.561290322580645
8,6,Euler,0.353488372093023,0.352678571428571,0.341935483870968,0.295348837209302,0.370535714285714,0.296774193548387,0.3,0.330357142857143,0.219354838709677,0.455813953488372,0.495535714285714,0.632258064516129,0.490697674418605,0.3125,0.574193548387097
9,6,Euler,0.418604651162791,0.388392857142857,0.374193548387097,0.42093023255814,0.53125,0.425806451612903,0.337209302325581,0.446428571428571,0.316129032258064,0.462790697674419,0.5625,0.670967741935484,0.53953488372093,0.370535714285714,0.567741935483871
10,6,Euler,0.309302325581395,0.334821428571429,0.270967741935484,0.365116279069767,0.388392857142857,0.341935483870968,0.251162790697674,0.361607142857143,0.206451612903226,0.37906976744186,0.495535714285714,0.6,0.427906976744186,0.294642857142857,0.535483870967742
11,6,Euler,0.367441860465116,0.379464285714286,0.361290322580645,0.395348837209302,0.477678571428571,0.52258064516129,0.286046511627907,0.392857142857143,0.380645161290323,0.423255813953488,0.473214285714286,0.619354838709677,0.467441860465116,0.352678571428571,0.574193548387097
