channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixation_power_canceled,fixation_power_nostop,stopSignal_power_canceled,stopSignal_power_nostop,ssrt_power_canceled,ssrt_power_nostop,laminar,upper_lower
10,16,eulsef20120912c-01,AD26,1,1,p1,1,3,0,Euler,0.259698707516424,0.141149275479785,0.285621972870015,0.277782554889504,0.4867227061035,0.227220932003681,L2,Upper
11,16,eulsef20120912c-01,AD27,1,1,p1,1,4,0,Euler,0.344855098022452,0.212984671632961,0.321517441231667,0.614457687442952,0.502112264951849,0.72272524643248,L2,Upper
12,16,eulsef20120912c-01,AD28,1,1,p1,1,5,0,Euler,0.549210320008468,0.121147790330748,0.427553391411716,0.0661310300082638,0.0823897707857814,0.574342673883881,L3,Upper
13,16,eulsef20120912c-01,AD29,1,1,p1,1,6,0,Euler,0.485761556474653,0.189577925999516,0.602419745027211,0.103747527318435,0.150595322885455,0.483361249743638,L3,Upper
14,16,eulsef20120912c-01,AD30,1,1,p1,1,7,0,Euler,0.531794151335985,0.252222031738702,0.474899184052688,0.199194761497424,0.254270240125322,0.459527391776732,L3,Upper
15,16,eulsef20120912c-01,AD31,1,1,p1,1,8,0,Euler,0.897194342615579,0.18443790052819,0.621231911366495,0.186002459316592,0.157559038515745,0.267962120950366,L3,Upper
16,16,eulsef20120912c-01,AD32,1,1,p1,1,9,0,Euler,0.829415233111863,0.204393728269888,0.523871580510037,0.0575858437800475,0.153380118715394,0.0969099901660584,L5,Lower
17,16,eulsef20120912c-01,AD33,1,1,p1,1,10,0,Euler,0.716684158632724,0.355626634795105,0.367707206579458,0.0972837995122817,0.111719836879754,0.0709143615864721,L5,Lower
18,16,eulsef20120912c-01,AD34,1,1,p1,1,11,0,Euler,0.514204899453479,0.362830634387381,0.22140499476475,0.0385136950805783,0.192725247384205,0.0577279861785844,L5,Lower
19,16,eulsef20120912c-01,AD35,1,1,p1,1,12,0,Euler,0.512191121072713,0.223663252711059,0.365561058363899,0.107455059541371,0.203389912505574,0.0959265375941553,L5,Lower
20,16,eulsef20120912c-01,AD36,1,1,p1,1,13,0,Euler,0.35913194022327,0.239726074149548,0.253951634846219,0.052323809199709,0.125735662528722,0.107874248422423,L6,Lower
21,16,eulsef20120912c-01,AD37,1,1,p1,1,14,0,Euler,0.268801947356753,0.365897868752031,0.367147893614431,0.0812039610412956,0.183239966763163,0.14857829335771,L6,Lower
22,16,eulsef20120912c-01,AD38,1,1,p1,1,15,0,Euler,0.312213804099921,0.212299478530375,0.360941263590384,0.0259250388645613,0.119237090618964,0.0834406451319006,L6,Lower
23,16,eulsef20120912c-01,AD39,1,1,p1,1,16,0,Euler,0.314351969926059,0.153032889835515,0.492421670698119,0.0754733419419621,0.16717651857133,0.0613411320884935,L6,Lower
24,16,eulsef20120912c-01,AD40,1,1,p1,1,17,0,Euler,0.255562870657794,0.296932779681901,0.283390763667087,0.0866147308168758,0.124252812204329,0.0596278101809311,L6,Lower
9,17,eulsef20120913c-01,AD25,1,1,p1,1,1,0,Euler,0.0854298526786382,0.0897701987753892,0.0629679984949033,0.28436374819293,0.0743194310135414,0.221182758035087,L2,Upper
10,17,eulsef20120913c-01,AD26,1,1,p1,1,2,0,Euler,0.0942406768441753,0.0927753779153586,0.0286579371386616,0.549329291147234,0.0643634935335943,0.204119216241808,L2,Upper
11,17,eulsef20120913c-01,AD27,1,1,p1,1,3,0,Euler,0.269413808722523,0.31062266734412,0.0989214918238949,0.618637613193077,0.106346677407422,0.248380309217206,L2,Upper
12,17,eulsef20120913c-01,AD28,1,1,p1,1,4,0,Euler,0.280792668453174,0.166365887587895,0.0736082706687372,1.44427224968829,0.0342502017289318,0.368879321760163,L2,Upper
13,17,eulsef20120913c-01,AD29,1,1,p1,1,5,0,Euler,0.201233117989769,0.223230340459254,0.0525560617303411,1.06502176873444,0.0737471650546836,0.688590738353567,L3,Upper
14,17,eulsef20120913c-01,AD30,1,1,p1,1,6,0,Euler,0.0424591437504251,0.419121926696067,0.158607582497419,1.23970977344633,0.232358771034582,0.384459093949222,L3,Upper
15,17,eulsef20120913c-01,AD31,1,1,p1,1,7,0,Euler,0.120512771903894,0.648616569542069,0.133063707621025,1.23073351249021,0.281899896274083,0.191525659602542,L3,Upper
16,17,eulsef20120913c-01,AD32,1,1,p1,1,8,0,Euler,0.108213787634345,0.480155054732503,0.130478074067237,1.14532309494615,0.120173585442649,0.108637468719462,L3,Upper
17,17,eulsef20120913c-01,AD33,1,1,p1,1,9,0,Euler,0.152505832224674,0.526323593587608,0.241352023192323,0.976884101484103,0.12483473061111,0.199065282153308,L5,Lower
18,17,eulsef20120913c-01,AD34,1,1,p1,1,10,0,Euler,0.132255565276141,0.56713210851043,0.175812279931926,1.3993083143552,0.0618017927989918,0.227316912870167,L5,Lower
19,17,eulsef20120913c-01,AD35,1,1,p1,1,11,0,Euler,0.121952757561107,0.441701138572774,0.0376501957107868,0.254582549582082,0.125422306565334,0.430909799010261,L5,Lower
20,17,eulsef20120913c-01,AD36,1,1,p1,1,12,0,Euler,0.159130593743469,0.314512270796821,0.0978581483956454,0.478148522556926,0.104966705913089,0.524665454851376,L5,Lower
21,17,eulsef20120913c-01,AD37,1,1,p1,1,13,0,Euler,0.230781271655683,0.720019655804087,0.384760757279172,0.827880821481302,0.0642363098148868,0.388668169684356,L6,Lower
